shop_id,cuisine,scene_tags,ambience_tags,queue_level,summary
50,"烤肉,东北","朋友聚餐,夜宵","热闹,复古",MEDIUM,武林路的东北烤肉，量大实惠。酸菜五花肉和烤牛肉是招牌，搭配蘸料绝配。怀旧工业风装修，夜宵氛围浓，喝酒撸串好去处。
51,"烧烤,中式","夜宵,朋友聚餐","热闹,简约",LOW,城西文一路的中式烧烤，营业至凌晨3点。羊肉串和烤茄子是招牌，价格便宜人均85元。环境简单接地气，周边学生和夜宵党聚集地。
52,"烤肉,韩式","朋友聚餐,家庭聚餐","热闹,包间",MEDIUM,萧山银隆的韩式烤肉，牛肋条和五花肉是招牌。小菜丰富免费续，服务热情帮烤。有包间适合家庭聚餐，排队时间不长，人均150元性价比高。
53,"杭帮菜,中餐","家庭聚餐,商务","安静,复古",MEDIUM,延安路的经典杭帮菜，东坡肉和西湖醋鱼是招牌。装修古色古香，是老杭州人聚餐首选。价格亲民，菜品分量足，环境热闹有烟火气，需等位30分钟。
54,"杭帮菜,中餐","商务,家庭聚餐","安静,景观,包间",HIGH,北山路的老牌杭帮菜，坐拥西湖美景。龙井虾仁和叫花鸡是招牌，环境雅致有包间和景观位。商务宴请和家庭重要聚餐首选，需提前3天预订。
55,"杭帮菜,新派","朋友聚餐,约会","简约,浪漫",LOW,来福士的新派杭帮菜，融合创新。招牌松鼠桂鱼和黑松露炒饭是网红款，环境现代简约。价格适中，适合年轻人和朋友聚餐，基本不排队。
60,"闽菜,福州菜","家庭聚餐,商务","复古,包间",MEDIUM,上街大学城的老牌闽菜馆，佛跳墙和荔枝肉是招牌。环境古色古香有包间，适合家庭聚餐和商务宴请。人均120元，性价比突出，是闽侯本地人宴客首选。
61,"闽菜,海鲜","朋友聚餐,家庭聚餐","热闹,景观",HIGH,仓山万达的海鲜酒楼，海鲜现捞现做。招牌海鲜姿造和佛跳墙品质上乘，环境大气有景观位。等位约40分钟，适合家庭聚会和朋友聚餐。
62,"闽菜,农家菜","家庭聚餐,朋友聚餐","简约,安静",LOW,南屿镇的农家闽菜馆，食材来自周边乡村。招牌土鸡炖汤和红糟肉，味道朴实家常。环境简单干净，适合家庭便饭，基本不排队。
63,"闽菜,海鲜","朋友聚餐,商务","热闹,包间",MEDIUM,金山街道的海鲜城，以品种丰富和价格实惠著称。帝王蟹和龙虾是招牌，有包间适合商务宴请。人均160元，性价比在金山区域领先。
64,"闽菜,福州菜","家庭聚餐,商务","复古,包间",MEDIUM,台江万达的福州老牌酒楼，装修古典大气。招牌醉排骨和太平燕是特色，服务规范。适合婚宴和大型聚餐，需提前预订包间。
65,"闽菜,海鲜","家庭聚餐,朋友聚餐","简约,安静",LOW,甘蔗街道的海鲜餐厅，主打本地小海鲜。酱油水做法最大程度保留鲜味，价格便宜人均130元。环境清爽，周边居民常光顾。
66,"闽菜,创意菜","约会,朋友聚餐","浪漫,简约",MEDIUM,东街口的创意闽菜，融合中西元素。招牌茉莉花茶熏鱼和红酒荔枝肉很有新意。环境浪漫简约，适合约会和闺蜜聚餐。
67,"闽菜,潮汕菜","商务,家庭聚餐","安静,包间,景观",HIGH,闽侯滨江的高端潮粤菜，主打海鲜和打冷。环境雅致有江景包间，服务细致。适合商务宴请和重要家庭聚会，需提前预订。
68,"福州小吃,肉燕","独自用餐,朋友聚餐","复古,热闹",LOW,上下杭的百年老字号肉燕店，非遗传承。肉燕皮薄馅鲜，搭配骨汤绝配。环境复古有文化氛围，游客和本地人都爱，基本不排队。
69,"福州小吃,鱼丸","独自用餐,朋友聚餐","热闹,复古",MEDIUM,南后街的百年鱼丸老店，Q弹鲜香。鱼丸和鱼面是招牌，汤头清甜。环境古朴热闹，游客打卡必去，饭点需等位15-20分钟。
70,"福州小吃,元宵","独自用餐,家庭聚餐","复古,安静",LOW,苍霞路的百年元宵老店，手工现包。肉馅和甜馅都好吃，皮薄馅大。环境怀旧安静，老福州人的记忆味道，基本不用排队。
71,"福州小吃,牛肉","朋友聚餐,独自用餐","热闹,简约",MEDIUM,达道路的牛肉老店，牛排和牛杂汤是招牌。汤头浓郁肉香十足，福州特色。环境热闹接地气，饭点需排队15分钟左右。
72,"福州小吃,锅边","独自用餐,家庭聚餐","热闹,简约",LOW,福屿路的锅边老店，米浆现烫。锅边配油条和虾酥是经典福州早餐，人均45元吃到饱。环境传统，早上人最多，建议9点后来。
73,"日料,自助","朋友聚餐,家庭聚餐","热闹,简约",HIGH,仓山万达的日料自助天花板，三文鱼和甜虾无限量。刺身新鲜补货快，环境现代宽敞。周末排队1小时起，建议工作日来。
74,"日料,居酒屋","朋友聚餐,独自用餐","热闹,复古",LOW,上街大学城的日式居酒屋，学生党最爱。烧鸟和拉面是招牌，价格亲民人均165元。氛围轻松复古，适合下课后来小酌聊天。
75,"日料,烧鸟","夜宵,朋友聚餐","热闹,复古",MEDIUM,金山的深夜居酒屋，营业至凌晨2点。烧鸟串和关东煮是招牌，复古日式氛围浓厚。年轻人夜宵聚集地，周五周六晚上需等位。
76,"日料,会席","约会,商务","安静,包间",HIGH,闽侯万家广场的高端日料，主打会席和怀石。食材空运新鲜，摆盘精致如画。包间私密性好，适合纪念日约会和商务宴请。
77,"火锅,重庆","朋友聚餐,夜宵","热闹,简约",MEDIUM,上街大学城的重庆火锅，红油锅底正宗麻辣。毛肚和鹅肠是招牌，价格实惠学生党福音。环境热闹接地气，排队约30分钟。
78,"火锅,重庆","朋友聚餐,家庭聚餐","热闹,包间",MEDIUM,仓山万达的重庆火锅，九宫格锅底是招牌。菜品新鲜服务规范，有包间适合家庭聚餐。等位约30-40分钟，周末更久。
79,"火锅,四川","朋友聚餐,夜宵","热闹,复古",HIGH,台江万达的四川火锅，牛油锅底香气浓郁。招牌毛肚和鸭肠必点，装修复古风格。夜宵时段人气火爆，等位1小时常见。
80,"火锅,重庆","家庭聚餐,朋友聚餐","简约,安静",LOW,甘蔗街道的重庆火锅，价格亲民分量足。麻辣和番茄鸳鸯锅最受欢迎，环境干净明亮。基本不排队，适合日常家庭火锅。
81,"西餐,牛排","约会,商务","安静,浪漫",HIGH,仓山万达的高端西餐，台塑牛排是招牌。环境暗调浪漫，适合纪念日约会。服务管家式细致入微，人均320元，需提前预约。
82,"西餐,牛排","约会,朋友聚餐","安静,简约",MEDIUM,台江万达的人气西餐，牛排熟成工艺出色。环境简约有格调，性价比高。适合情侣约会和闺蜜聚餐，周末等位约30分钟。
83,"西餐,简餐","独自用餐,朋友聚餐","简约,安静",LOW,金山万科里的休闲西餐，全天供应早午餐。咖啡和意面是招牌，环境现代舒适。适合逛街累了休息，基本不排队。
84,"烤肉,韩式","朋友聚餐,家庭聚餐","热闹,包间",MEDIUM,仓山万达的韩式烤肉，黑牛牛肉品质好。配菜免费续服务帮烤，有包间适合聚会。排队约30分钟，性价比突出。
85,"烤肉,韩式","朋友聚餐,夜宵","热闹,复古",HIGH,上街大学城的韩式烤肉，明星同款人气高。五花肉和牛舌必点，韩式复古装修适合拍照。等位1小时常见，建议提前取号。
86,"烤肉,韩式","朋友聚餐,家庭聚餐","热闹,包间",MEDIUM,闽侯万家广场的韩式炭火烤肉，牛肋条和猪颈肉是招牌。炭火烤制香气足，有包间适合多人。人均135元价格实惠。
87,"川菜,水煮鱼","朋友聚餐,家庭聚餐","热闹,简约",MEDIUM,仓山万达的川菜连锁，脆鱼和水煮鱼是招牌。鱼肉鲜嫩无刺，麻辣过瘾。环境现代整洁，等位约20分钟，适合喜欢辣的朋友。
88,"粤菜,茶点","家庭聚餐,朋友聚餐","安静,简约",LOW,闽侯甘蔗的粤式茶餐厅，虾饺和凤爪是招牌。早茶时段人气旺，价格实惠。环境安静舒适，适合家庭早茶和下午茶。
89,"东北菜,家常","朋友聚餐,家庭聚餐","热闹,简约",LOW,上街大学城的东北菜馆，量大实惠。锅包肉和地三鲜是招牌，学生党最爱。环境热闹接地气，人均65元性价比无敌，基本不排队。
